Position,Country/territory,"Share 2016","Share 2017","Count 2017","Change in Adjusted Share 2016-2017"
84,Mali,0.2891966,1.7477272,13,4.957
86,Madagascar,0.5772478,1.6907814,9,1.887
87,Cameroon,0.4876331,1.592389,16,2.219
88,Benin,2.6436711,1.5691138,7,-0.415
89,Mongolia,0.5189999,1.5340376,15,1.914
90,Gabon,0.5056558,1.5302343,11,1.983
91,Venezuela,1.9223161,1.5226907,11,-0.219
92,Azerbaijan,1.6942481,1.4869214,81,-0.135
93,Iraq,0.8626715,1.4218574,20,0.625
94,Cambodia,1.0773308,1.3664286,6,0.25
95,"French Polynesia",1.8390568,1.3537037,7,-0.274
96,Jordan,1.0479047,1.3360783,11,0.257
97,"North Korea",0.8365385,1.3,2,0.532
97,"Democratic Republic of the Congo (DRC)",0.35529448548538,1.4326298701298,8,2.668
98,Malawi,0.5746811,1.2954706,10,1.222
99,Nepal,3.6203669,1.288961,7,-0.649
100,"Papua New Guinea",0.2687079,1.1925447,7,3.375
101,Ethiopia,2.3965368,1.1458597,11,-0.529
102,"Burkina Faso",0.6558931,1.10692,7,0.664
103,"Bosnia and Herzegovina",1.5104167,1.04,7,-0.321
104,Namibia,0.4673089,1.0164087,8,1.144
105,Nigeria,1.0879999,1.0041632,14,-0.09
106,Cuba,0.9155991,0.9899345,21,0.066
107,Senegal,0.6488257,0.9482612,7,0.441
108,Macedonia,2.1511111,0.9411262,8,-0.569
109,Brunei,0.1347581,0.9173597,6,5.71
110,Monaco,1.4390679,0.90322,15,-0.381
111,Nicaragua,0.6,0.9001035,4,0.479
112,Sudan,0.8938672,0.8055556,3,-0.112
113,Botswana,0.6088889,0.6814421,4,0.103
114,Niger,0.247558,0.6673839,7,1.657
115,Seychelles,0.1127451,0.6666667,3,4.829
116,Uzbekistan,1.6675448,0.6607443,6,-0.609
117,"Ivory Coast",0.7083333,0.6123231,7,-0.148
118,Ghana,1.3901638,0.5730339,6,-0.594
119,Libya,0.1333333,0.5708995,4,3.221
120,Greenland,0.9013187,0.5557292,6,-0.392
121,Liechtenstein,0,0.5328483,4,0
122,"Trinidad and Tobago",0.2743207,0.5242424,3,0.884
123,Kuwait,2.3059785,0.5102382,7,-0.782
124,Fiji,0.2833118,0.503309,4,0.751
125,Jamaica,1.4795272,0.4504193,6,-0.7
126,Zimbabwe,1.067033,0.4331148,4,-0.6
127,"Sierra Leone",0.53,0.4124635,3,-0.233
128,Tajikistan,0.5227273,0.4107143,2,-0.225
129,"Vatican City State (Holy See)",0.0846561,0.4091768,8,3.764
130,Guatemala,0.1838235,0.3423611,3,0.836
131,Syria,0.25,0.3333333,1,0.314
132,Bahamas,0.015625,0.3222222,3,19.328
133,Bahrain,0.1221591,0.2916667,2,1.354
134,Bolivia,1.0226865,0.2867102,4,-0.724
135,"Faroe Islands",0,0.2857143,1,0
136,Reunion,0.0246914,0.2849832,4,10.377
137,Vanuatu,0.3655914,0.2539683,2,-0.315
138,Albania,0,0.2434783,2,0
139,Congo,0.58368279569893,0.28571428571429,1,-0.555
139,"Palestinian territories",0.2374714,0.2281132,34,-0.053
140,Gambia,0.0654902,0.2263889,3,2.408
141,Maldives,0,0.2222222,1,0
142,Angola,0.0902564,0.2123849,3,1.32
143,"East Timor",0.1666667,0.2,1,0.183
144,"Central African Republic",0,0.193151,3,0
145,Kyrgyzstan,0.3944444,0.1751152,2,-0.562
146,Paraguay,0,0.157704,3,0
147,"Saint Kitts and Nevis",0.1,0.1495726,2,0.474
148,Chad,0,0.1363636,1,0
149,Zambia,0.6604167,0.1296296,2,-0.807
150,Swaziland,0.1666667,0.125,1,-0.261
150,"Cape Verde",0.25,0.125,1,-0.507
151,Laos,0.108512,0.1219048,2,0.107
152,Guinea,0.2700473,0.1081731,2,-0.605
153,Rwanda,0.03125,0.0955556,2,2.014
154,Honduras,0.2208527,0.0724696,2,-0.677
155,"Solomon Islands",0,0.0625,1,0
156,Samoa,0.2740964,0.0606061,1,-0.782
157,Grenada,0,0.0454545,1,0
158,Montenegro,0.0282689,0.0421783,3,0.471
159,Liberia,0.2051282,0.0416667,1,-0.8
160,Suriname,0.0422078,0.0410187,2,-0.042
161,Myanmar,0.1504124,0.04,1,-0.738
162,Djibouti,0.125,0.0243902,1,-0.808
163,Guinea-Bissau,0,0.0120482,1,0
164,Guyana,0.3464912,0.0065359,1,-0.981
165,Mauritius,0.1944444,0.003268,1,-0.983
166,Haiti,0.1764706,0,0,0
166,Yemen,0.304329,0,0,0
166,Belize,0.1428571,0,0,0
166,Bhutan,0.6666667,0,0,0
166,Eritrea,0.1623377,0,0,0
166,Barbados,0.0867548,0,0,0
166,Mauritania,0.1666667,0,0,0
166,Mozambique,0.125,0,0,0
166,"El Salvador",0.5576923,0,0,0
166,"Saint Lucia",0.03125,0,0,0
166,"Netherlands Antilles",0.0714286,0,0,0
