Position,Country/territory,"Share 2017","Share 2018","Count 2018","Change in Adjusted Share 2017-2018"
137,Honduras,0.0724696,0.1777455,17,1.315
138,Albania,0.2434783,0.1666667,1,-0.354
138,"Faroe Islands",0.2857143,0.1666667,1,-0.449
139,Rwanda,0.0955556,0.1481481,1,0.464
140,Sudan,0.8055556,0.1325397,2,-0.845
141,Yemen,0,0.125323,2,0
142,Bahamas,0.3222222,0.125,1,-0.634
143,Kiribati,0,0.0909091,1,0
143,"Solomon Islands",0.0625,0.0909091,1,0.373
144,Zambia,0.1296296,0.0886809,2,-0.354
145,Guatemala,0.3423611,0.0755556,2,-0.792
146,"Palestinian territories",0.2281132,0.0738488,15,-0.694
147,Reunion,0.2849832,0.0625,1,-0.793
148,Paraguay,0.157704,0.0555556,1,-0.667
149,Mozambique,0,0.0526316,1,0
150,Niger,0.6673839,0.0465116,1,-0.934
151,Libya,0.5708995,0.0454545,1,-0.925
152,Guinea-Bissau,0.0120482,0.0415435,2,2.255
153,Belize,0,0.0347222,2,0
154,Montenegro,0.0421783,0.0335176,3,-0.25
155,Togo,0,0.027027,1,0
156,Barbados,0,0.0217391,1,0
157,Chad,0.1363636,0,0,0
157,Samoa,0.0606061,0,0,0
157,Syria,0.3333333,0,0,0
157,Angola,0.2123849,0,0,0
157,Guyana,0.0065359,0,0,0
157,Bahrain,0.2916667,0,0,0
157,Liberia,0.0416667,0,0,0
157,Djibouti,0.0243902,0,0,0
157,Maldives,0.2222222,0,0,0
157,Suriname,0.0410187,0,0,0
157,Mauritius,0.003268,0,0,0
157,Swaziland,0.125,0,0,0
157,"Cape Verde",0.125,0,0,0
157,"East Timor",0.2,0,0,0
157,Seychelles,0.6666667,0,0,0
157,"Saint Kitts and Nevis",0.1495726,0,0,0
158,Congo,0.28571428571429,0,0,-1
