Position,Country/territory,"Share 2020","Share 2021","Count 2021","Change in Adjusted Share 2020-2021"
54,Indonesia,12.4054111,14.8258254,92,0.163
55,Bulgaria,9.7413485,13.8887485,160,0.387
56,Qatar,7.9893826,13.7777436,87,0.678
57,Kenya,8.9347712,13.5161754,69,0.472
58,Lithuania,12.1987685,12.7746479,88,0.019
59,Cyprus,7.8830487,12.0926106,94,0.492
60,Serbia,7.3001623,10.9258578,141,0.456
61,Morocco,5.0635809,9.8021506,86,0.883
62,Malaysia,10.6832964,9.4076789,128,-0.143
63,Uruguay,10.8829438,9.1405912,27,-0.183
64,Ecuador,7.1968748,9.0670629,86,0.226
65,Panama,6.9600357,8.4792793,55,0.185
66,Armenia,8.4145968,7.9663108,110,-0.079
67,Philippines,6.9527109,7.7864297,78,0.09
68,Georgia,3.6265195,6.8972821,134,0.85
69,Algeria,2.8487245,6.5930308,16,1.252
70,Uganda,3.7675317,6.3390776,37,0.637
71,Oman,5.1071805,5.6193648,18,0.07
72,Peru,12.4700948,5.5944305,65,-0.564
73,Belarus,5.0221679,5.4813373,111,0.062
74,Bangladesh,6.4112949,5.2017104,30,-0.211
75,Uzbekistan,3.1835815,5.0751418,32,0.551
76,Kazakhstan,7.8007917,4.5467124,29,-0.433
77,Latvia,3.4588867,4.2916369,62,0.207
78,Lebanon,4.8719064,4.0982011,26,-0.182
79,Tunisia,3.8765071,3.8391397,16,-0.036
80,Ethiopia,3.2096738,3.7304469,25,0.131
81,Nigeria,1.3877662,3.2483469,30,1.277
83,Malawi,1.2270902,3.1197534,15,1.474
84,Tanzania,2.1832448,3.0158516,24,0.344
85,Madagascar,1.2210118,3.0003576,19,1.391
86,Iraq,1.3807027,2.8212949,20,0.988
87,Rwanda,2.3879536,2.8156008,14,0.147
88,Ghana,1.9923865,2.8144365,26,0.374
88,"Democratic Republic of the Congo (DRC)",1.0145648539603,2.7838468832089,21,1.67
89,"Costa Rica",4.179017,2.4501116,27,-0.43
90,"French Polynesia",2.1360737,2.340577,13,0.066
91,"Sri Lanka",2.9115008,2.3395846,60,-0.218
92,Cambodia,1.0993927,2.1936844,13,0.941
93,"North Korea",1,2,2,0.946
94,Malta,1.5651557,1.9851998,15,0.234
95,Cuba,3.1529973,1.9432004,35,-0.4
96,Venezuela,4.2795042,1.9228205,17,-0.563
97,Jordan,0.7922958,1.8630758,12,1.288
98,Mali,0.4511661,1.8430962,12,2.975
99,"Burkina Faso",0.9861513,1.742168,11,0.719
100,Azerbaijan,0.3692194,1.7176129,76,3.526
101,Myanmar,1.6563752,1.6153912,10,-0.051
102,Kuwait,1.5971798,1.6017821,47,-0.024
103,Senegal,1.5829896,1.5552446,10,-0.044
104,Cameroon,2.7948643,1.5195998,14,-0.471
105,"Ivory Coast",0.9426096,1.4557585,13,0.503
106,Zambia,0.6173458,1.4084561,11,1.22
107,"Papua New Guinea",1.2212803,1.308114,7,0.042
108,Namibia,1.2504117,1.270354,10,-0.012
109,Nepal,0.9901149,1.1943723,14,0.174
110,Greenland,0.6129762,1.1330408,12,0.798
111,Guatemala,0.7195487,1.1210976,6,0.516
112,Mongolia,1.2060576,1.1196663,28,-0.097
113,Macedonia,1.2443728,1.0883777,4,-0.149
114,Nicaragua,0.9753577,1.0004579,3,-0.002
115,Gambia,0.8695616,0.937783,7,0.049
116,Brunei,0.162352,0.9333333,2,4.593
117,Mozambique,0.9444096,0.8929016,13,-0.08
118,Kyrgyzstan,0.3450603,0.8165679,6,1.302
119,Gabon,2.0210352,0.8146235,12,-0.608
120,Monaco,1.7353134,0.7516385,7,-0.579
121,Laos,0.2566138,0.7349183,6,1.786
122,Moldova,0.765873,0.7281989,11,-0.075
123,Botswana,0.5000715,0.6715642,8,0.307
124,Fiji,0.3311882,0.6539251,7,0.921
125,"Sierra Leone",1.0562716,0.6352713,5,-0.415
126,"Palestinian territories",0.6314841,0.6296096,39,-0.03
127,Guinea,0.2173265,0.6253062,5,1.799
128,Palau,0.1747967,0.6190476,2,2.446
129,Bolivia,0.9973286,0.5690383,7,-0.445
130,Mauritania,0,0.547619,1,0
131,Haiti,0.975,0.5151515,3,-0.486
132,Bahamas,0.2614191,0.5,2,0.861
133,Maldives,0.0478771,0.4675325,5,8.501
134,Sudan,0.1518971,0.4239719,6,1.716
135,Congo,0.12413108242304,0.44217017498564,5,2.466
135,Niger,0.6666667,0.344697,4,-0.497
136,Afghanistan,0,0.3413009,4,0
137,"Dominican Republic",0.1428016,0.3229204,22,1.2
138,"Central African Republic",0.059434,0.3217262,5,4.267
139,"Vatican City State (Holy See)",0.2861111,0.3154237,6,0.073
140,Togo,0.0625,0.3,1,3.67
141,Benin,1.073582,0.2765449,8,-0.749
142,"Equatorial Guinea",0,0.2760486,3,0
143,Zimbabwe,0.7083333,0.2713933,3,-0.627
144,Tajikistan,0.7777778,0.234612,4,-0.707
145,Samoa,0.1792119,0.234227,6,0.272
146,Burundi,0,0.2299428,4,0
147,Chad,0,0.21875,2,0
148,"Bosnia and Herzegovina",0.1378783,0.1554499,5,0.097
149,Comoros,0,0.1538462,1,0
150,"Trinidad and Tobago",0.3546506,0.1509259,3,-0.586
151,Grenada,0.1224719,0.1481481,1,0.177
152,Liechtenstein,0.2054881,0.125,1,-0.408
153,"Faroe Islands",1.2120915,0.1192308,3,-0.904
154,Mauritius,0.2027559,0.1186106,4,-0.431
155,"Cape Verde",0.0011261,0.1121951,2,95.933
156,Paraguay,0.2827487,0.0719279,11,-0.753
157,Syria,0,0.0714286,1,0
157,Guyana,0.2183182,0.0714286,1,-0.682
158,Liberia,0.0327267,0.0687882,2,1.045
159,Andorra,0,0.0625,1,0
160,Jamaica,0.0342782,0.0621951,2,0.765
161,Guinea-Bissau,0.2383708,0.0606061,1,-0.753
162,Bahrain,0.0010764,0.0526144,2,46.556
163,"El Salvador",0.0588235,0.047619,1,-0.212
164,"East Timor",0,0.045977,1,0
165,Montenegro,0.2315611,0.0439504,45,-0.815
166,Seychelles,0.8431526,0.0371951,2,-0.957
167,Reunion,0.0769231,0.0238095,1,-0.699
168,Libya,0.0774194,0.0185185,1,-0.767
169,Lesotho,0.0625,0.0115894,1,-0.82
170,Angola,0.1295094,0.0111111,1,-0.917
171,Barbados,0.0022523,0.0104978,2,3.535
172,Swaziland,0.8470938,0.0033113,1,-0.996
173,Yemen,0.0027408,0.0019608,1,-0.304
174,Honduras,0.1862658,0.0004965,1,-0.997
175,Belize,0.0975754,0,0,0
175,Bhutan,0.1428571,0,0,0
175,Albania,0.3,0,0,0
175,Vanuatu,0.3088578,0,0,0
175,Kiribati,0.0081301,0,0,0
175,Suriname,0.0335339,0,0,0
175,Guadeloupe,0.0081301,0,0,0
175,Micronesia,0.0931834,0,0,0
175,"Cook Islands",0.004065,0,0,0
175,"Solomon Islands",0.0011261,0,0,0
175,"Netherlands Antilles",0.0181818,0,0,0
175,"Saint Vincent and The Grenadines",0.0081301,0,0,0
